City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Yar-Sale,RU,2022-10-03 02:40:56,66.8333,70.8333,36.37,87,100,14.32
237,Kaura Namoda,NG,2022-10-03 02:40:56,12.5898,6.5779,76.77,79,92,9.93
238,Kirakira,SB,2022-10-03 02:40:57,-10.4544,161.9205,84.4,71,99,6.06
239,Sombrio,BR,2022-10-03 02:40:57,-29.1139,-49.6167,61.93,91,79,3.69
240,Dondo,MZ,2022-10-03 02:40:57,-19.6094,34.7431,69.31,96,0,2.93
241,Mut,TR,2022-10-03 02:40:58,36.6439,33.4389,66.27,67,0,9.48
242,Krasnoselkup,RU,2022-10-03 02:40:58,65.7,82.4667,33.4,67,100,15.59
243,Sabang,ID,2022-10-03 02:40:58,5.8933,95.3214,82.22,75,27,21.0
244,Saint George,US,2022-10-03 02:39:08,37.1041,-113.5841,79.43,50,0,8.05
245,Pallasovka,RU,2022-10-03 02:40:59,50.05,46.8833,62.17,44,100,23.64
246,Nedjo,ET,2022-10-03 02:40:59,9.5046,35.5019,56.55,96,96,1.3
247,Mayo,US,2022-10-03 02:38:21,38.8876,-76.5119,54.1,93,100,10.0
248,Harper,LR,2022-10-03 02:41:00,4.375,-7.7169,75.65,91,100,6.67
249,Alice Springs,AU,2022-10-03 02:40:10,-23.7,133.8833,85.21,34,40,12.66
250,Escarcega,MX,2022-10-03 02:41:00,18.6089,-90.7454,69.85,90,74,2.95
251,Fairview,US,2022-10-03 02:41:01,40.8126,-73.999,53.78,47,100,21.85
252,Alta Floresta,BR,2022-10-03 02:41:01,-9.8756,-56.0861,78.19,63,74,3.87
253,Codrington,AU,2022-10-03 02:39:46,-38.2667,141.9667,64.4,67,71,4.41
254,Quatre Cocos,MU,2022-10-03 02:41:02,-20.2078,57.7625,71.1,73,71,13.82
255,Waingapu,ID,2022-10-03 02:41:02,-9.6567,120.2641,85.69,65,56,7.76
256,Tigre,AR,2022-10-03 02:41:02,-34.426,-58.5796,61.05,78,20,16.11
257,Bundaberg,AU,2022-10-03 02:41:03,-24.85,152.35,76.21,52,62,5.01
258,Bengkulu,ID,2022-10-03 02:41:03,-3.8004,102.2655,81.3,74,83,2.28
259,Ulladulla,AU,2022-10-03 02:41:03,-35.35,150.4667,63.01,56,69,9.91
260,Yokadouma,CM,2022-10-03 02:41:04,3.5167,15.05,67.14,99,100,1.9
261,Necochea,AR,2022-10-03 02:41:04,-38.5473,-58.7368,41.74,85,39,7.31
262,Teya,RU,2022-10-03 02:41:05,60.3778,92.6267,32.9,71,100,5.82
263,Juruti,BR,2022-10-03 02:41:05,-2.1522,-56.0922,77.7,76,77,2.35
264,Maamba,ZM,2022-10-03 02:41:05,-17.3667,27.15,67.77,32,0,2.42
265,Copalillo,MX,2022-10-03 02:41:06,18.0333,-99.1167,70.92,88,9,2.91
266,Goderich,CA,2022-10-03 02:41:06,43.7501,-81.7165,46.9,76,2,9.22
267,Saint Anthony,US,2022-10-03 02:41:07,45.0205,-93.218,65.98,68,75,11.5
268,Sambava,MG,2022-10-03 02:37:46,-14.2667,50.1667,68.49,76,95,8.39
269,Esil,KZ,2022-10-03 02:41:07,51.9556,66.4042,35.47,45,0,6.71
270,Georgetown,MY,2022-10-03 02:39:55,5.4112,100.3354,84.13,81,20,5.01
271,Yumen,CN,2022-10-03 02:41:07,40.2833,97.2,44.85,11,30,20.56
272,Mount Isa,AU,2022-10-03 02:41:08,-20.7333,139.5,91.17,18,80,9.22
273,Alamo,MX,2022-10-03 02:41:08,20.9167,-97.6833,71.51,87,74,1.95
274,Maningrida,AU,2022-10-03 02:41:09,-12.0667,134.2667,89.19,53,47,11.07
275,Merauke,ID,2022-10-03 02:41:09,-8.4667,140.3333,84.63,71,34,10.63
276,Mbuji-Mayi,CD,2022-10-03 02:41:10,-6.15,23.6,66.94,94,64,1.72
277,Grand-Santi,GF,2022-10-03 02:41:58,4.25,-54.3833,74.05,89,95,3.42
278,Viedma,AR,2022-10-03 02:42:10,-40.8135,-62.9967,45.21,74,100,10.6
279,Mouila,GA,2022-10-03 02:42:10,-1.8685,11.0559,71.4,98,100,1.07
280,Korgen,NO,2022-10-03 02:42:11,66.0771,13.8153,48.18,93,100,5.03
281,La Ronge,CA,2022-10-03 02:42:11,55.1001,-105.2842,64.62,59,0,6.91
282,Padang,ID,2022-10-03 02:42:12,-0.9492,100.3543,84.25,73,100,3.29
283,Olonets,RU,2022-10-03 02:42:12,60.9847,32.9698,37.45,91,99,8.86
284,Lata,PT,2022-10-03 02:42:13,40.1629,-8.3327,62.8,39,18,4.09
285,Brigantine,US,2022-10-03 02:42:14,39.4101,-74.3646,53.02,95,100,13.8
286,Redmond,US,2022-10-03 02:41:00,47.674,-122.1215,72.34,70,0,2.59
287,Katobu,ID,2022-10-03 02:42:14,-4.9408,122.5276,86.41,66,53,2.1
288,Gamba,GA,2022-10-03 02:42:14,-2.65,10.0,74.8,90,100,4.07
289,Tessalit,ML,2022-10-03 02:42:15,20.1986,1.0114,87.84,24,2,8.77
290,Bilma,NE,2022-10-03 02:42:15,18.6853,12.9164,85.41,14,0,9.75
291,Shelburne,CA,2022-10-03 02:42:16,44.0787,-80.2041,44.6,61,25,4.68
292,Ylivieska,FI,2022-10-03 02:42:16,64.0833,24.55,40.32,95,94,4.43
293,Los Llanos De Aridane,ES,2022-10-03 02:42:16,28.6585,-17.9182,68.13,63,75,9.22
294,Ndele,CF,2022-10-03 02:42:17,8.4109,20.6473,70.57,96,100,2.98
